Reward,Epsilon
-6.700000000000001954e+00,8.000000000000000444e-01
2.964999999999999858e+01,7.988008396361091501e-01
3.155000000000000426e+01,7.964079086599102908e-01
7.184999999999999432e+01,7.932284811457211982e-01
