Reward,Epsilon
2.230000000000000426e+01,8.000000000000000444e-01
8.400000000000000355e+00,7.988008396361091501e-01
2.535000000000000142e+01,7.964079086599102908e-01
1.266499999999999915e+02,7.932284811457211982e-01
1.467499999999999716e+02,7.898247517505286863e-01
1.258500000000000227e+02,7.850997561488006760e-01
1.458000000000000114e+02,7.796229751104006844e-01
